Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
149,9560,species,Graceful Black-throated Trogon,Trogon tenellus,4,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
150,9543,species,Gartered Violaceous Trogon,Trogon caligatus,2,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
151,5196,species,Blue-throated Goldentail,Chlorestes eliciae,4,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
152,5056,species,Blue-vented Hummingbird,Saucerottia hoffmanni,3,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
153,35783,species,Buff-throated Saltator,Saltator maximus,1,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292444024,,1
154,13097,species,Orange-fronted Parakeet,Eupsittula canicularis,4,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292444024,,1
155,12894,species,White-crowned Parrot,Pionus senilis,2,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292444024,,1
156,10926,species,Yellow-throated Toucan,Ramphastos ambiguus,1,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292444024,,1
157,5111,species,Rufous-tailed Hummingbird,Amazilia tzacatl,1,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292444024,,1
158,5100,species,Cinnamon Hummingbird,Amazilia rutila,2,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292444024,,1
159,8897,species,Spectacled Owl,Pulsatrix perspicillata,1,Road below Cerro Lodge,CR-P,03 Jan 2026,L3322176,S292251673,,1
160,8852,species,Pacific Screech-Owl,Megascops cooperi,1,Tarcoles Birding Lodge,CR-P,03 Jan 2026,L28741295,S292251766,,1
161,3527,species,Common Pauraque,Nyctidromus albicollis,1,Tarcoles Birding Lodge,CR-P,03 Jan 2026,L28741295,S292251766,,1
162,14020,species,Chestnut-backed Antbird,Poliocrania exsul,1,Tárcoles--localidad general,CR-P,03 Jan 2026,L2600528,S292251881,,1
163,10313,species,American Pygmy Kingfisher,Chloroceryle aenea,2,Tárcoles--localidad general,CR-P,03 Jan 2026,L2600528,S292251881,,1
164,9901,species,Turquoise-browed Motmot,Eumomota superciliosa,1,Tárcoles--localidad general,CR-P,03 Jan 2026,L2600528,S292251881,,1
165,9037,species,Ferruginous Pygmy-Owl,Glaucidium brasilianum,1,Tárcoles--Playa Azul,CR-P,03 Jan 2026,L2319271,S292252019,,1
166,11962,species,Crested Caracara,Caracara plancus,1,Tárcoles--Playa Azul,CR-P,03 Jan 2026,L2319271,S292252139,,1
167,9167,species,Black-and-white Owl,Strix nigrolineata,3,Tárcoles--Playa Azul,CR-P,03 Jan 2026,L2319271,S292252139,,1
168,34800,species,Scarlet-rumped Tanager,Ramphocelus passerinii,3,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
169,19136,species,Lesser Greenlet,Pachysylvia decurtata,1,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
170,17429,species,Streaked Flycatcher,Myiodynastes maculatus,1,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
171,16917,species,Northern Tropical Pewee,Contopus bogotensis,1,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
172,16037,species,Cinnamon Becard,Pachyramphus cinnamomeus,1,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
173,11939,species,Laughing Falcon,Herpetotheres cachinnans,1,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
174,10424,species,White-whiskered Puffbird,Malacoptila panamensis,1,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
175,6780,species,Elegant Tern,Thalasseus elegans,4,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
176,5933,species,Collared Plover,Anarhynchus collaris,2,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
177,5896,species,Southern Lapwing,Vanellus chilensis,4,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292264548,,1
178,17379,species,Boat-billed Flycatcher,Megarynchus pitangua,1,Playa Blanca,CR-P,03 Jan 2026,L28268896,S292263486,,1
179,7345,species,Cocos Booby,Sula brewsteri,2,Playa Blanca,CR-P,03 Jan 2026,L28268896,S292263486,,1
180,4388,species,Green-breasted Mango,Anthracothorax prevostii,1,Playa Blanca,CR-P,03 Jan 2026,L28268896,S292263486,,1
181,35560,species,Variable Seedeater,Sporophila corvina,12,Tárcoles--Tour en Bote,CR-P,03 Jan 2026,L1456779,S292263445,,1
