speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
boboli,Bobolink,Dolichonyx oryzivorus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
wesmea,Western Meadowlark,Sturnella neglecta,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
easmea,Eastern Meadowlark,Sturnella magna,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
lilmea2,Chihuahuan Meadowlark,Sturnella lilianae,,,,Present,Present,Present,,,,Present,
rebbla1,Red-breasted Meadowlark,Leistes militaris,,,,,,,,,,Present,Present
yebcac1,Yellow-billed Cacique,Amblycercus holosericeus,,,,,,,,,,Present,
yewcac1,Yellow-winged Cacique,Cassiculus melanicterus,,,,,,,,,,Present,
creoro1,Crested Oropendola,Psarocolius decumanus,,,,,,Present,,,,Present,Present
chhoro1,Chestnut-headed Oropendola,Psarocolius wagleri,,,,,,,,,,Present,
monoro1,Montezuma Oropendola,Psarocolius montezuma,,,,,,,,,,Present,
blaoro1,Black Oropendola,Psarocolius guatimozinus,,,,,,,,,,Present,
scrcac1,Scarlet-rumped Cacique,Cacicus uropygialis,,,,,,,,,,Present,
yercac1,Yellow-rumped Cacique,Cacicus cela,,Present,,,,,,,,Present,Present
graori1,Hispaniolan Oriole,Icterus dominicensis,,,,,,,,,,,Present
graori2,Cuban Oriole,Icterus melanopsis,,,,,,,,,,,Present
graori3,Bahama Oriole,Icterus northropi,,,,,,,,,,,Present
graori4,Puerto Rican Oriole,Icterus portoricensis,,,,,,,,,,,Present
stlori1,St. Lucia Oriole,Icterus laudabilis,,,,,,,,,,,Present
monori1,Montserrat Oriole,Icterus oberi,,,,,,,,,,,Present
marori1,Martinique Oriole,Icterus bonana,,,,,,,,,,,Present
bkvori,Black-vented Oriole,Icterus wagleri,,,,,Present,,,,,Present,
bawori1,Bar-winged Oriole,Icterus maculialatus,,,,,,,,,,Present,
bkcori,Black-cowled Oriole,Icterus prosthemelas,,,,,,,,,,Present,
orcori,Orchard Oriole,Icterus spurius,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
hooori,Hooded Oriole,Icterus cucullatus,,Present,Present,Present,Present,Present,Present,,Present,Present,Present
yebori1,Yellow-backed Oriole,Icterus chrysater,,,,,,,,,,Present,
orcori1,Orange-crowned Oriole,Icterus auricapillus,,,,,,,,,,Present,
yetori1,Yellow-tailed Oriole,Icterus mesomelas,,,,,,,,,,Present,
epaori1,Epaulet Oriole,Icterus cayanensis,,,,,,Present,,,,,Present
ventro1,Venezuelan Troupial,Icterus icterus,Present,Present,Present,,Present,Present,,,,,Present
stbori,Streak-backed Oriole,Icterus pustulatus,,,Present,Present,Present,Present,,,Present,Present,
bulori,Bullock's Oriole,Icterus bullockii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
oraori1,Orange Oriole,Icterus auratus,,,,,,,,,,Present,
jamori1,Jamaican Oriole,Icterus leucopteryx,,,,,,,,,,,Present
yelori1,Yellow Oriole,Icterus nigrogularis,,,,,,,,,,,Present
spbori,Spot-breasted Oriole,Icterus pectoralis,,Present,,,,,,,,Present,
altori,Altamira Oriole,Icterus gularis,,,,,Present,,,,Present,Present,
audori,Audubon's Oriole,Icterus graduacauda,,,Present,,Present,,,,,Present,
balori,Baltimore Oriole,Icterus galbula,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
blbori1,Black-backed Oriole,Icterus abeillei,Present,Present,,,,Present,,,,Present,
scoori,Scott's Oriole,Icterus parisorum,Present,Present,Present,Present,Present,Present,,,Present,Present,
jambla1,Jamaican Blackbird,Nesopsar nigerrimus,,,,,,,,,,,Present
rewbla,Red-winged Blackbird,Agelaius phoeniceus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
resbla1,Red-shouldered Blackbird,Agelaius assimilis,,,,,,,,,,,Present
tribla,Tricolored Blackbird,Agelaius tricolor,,,,Present,,Present,,,,Present,
tasbla,Tawny-shouldered Blackbird,Agelaius humeralis,,Present,,,,,,,,,Present
yesbla1,Yellow-shouldered Blackbird,Agelaius xanthomus,,,,,,,,,,,Present
shicow,Shiny Cowbird,Molothrus bonariensis,Present,Present,Present,,Present,,,,Present,Present,Present
brocow,Bronzed Cowbird,Molothrus aeneus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
